"country","region","year_of_statistics","average_pm25"
"Bulgaria","East",2018,19.5862857142857
"Estonia","East",2018,6.09385714285714
"Hungary","East",2018,18.578
"Latvia","East",2018,14.1684
"Lithuania","East",2018,12.8505714285714
"Poland","East",2018,23.5554526315789
"Romania","East",2018,18.6105714285714
"Slovakia","East",2018,17.99575
"Slovenia","East",2018,15.37
"Austria","West",2018,14.1077954545455
"Belgium","West",2018,12.995447761194
"France","West",2018,10.4509659863946
"Germany","West",2018,12.7907114427861
"Ireland","West",2018,7.99655555555556
"Luxembourg","West",2018,9.07025
"Netherlands","West",2018,12.4428444444444
"Bulgaria","East",2019,16.538
"Estonia","East",2019,4.68542857142857
"Hungary","East",2019,14.752125
"Latvia","East",2019,11.433
"Lithuania","East",2019,12.3624285714286
"Poland","East",2019,18.9565135135135
"Romania","East",2019,16.132
"Slovakia","East",2019,15.4065625
"Slovenia","East",2019,12.45275
"Austria","West",2019,11.6547115384615
"Belgium","West",2019,11.3608676470588
"France","West",2019,9.47237662337662
"Germany","West",2019,10.5508357487923
"Ireland","West",2019,9.06444444444444
"Luxembourg","West",2019,7.8805
"Netherlands","West",2019,10.9171333333333
"Bulgaria","East",2020,14.6821666666667
"Estonia","East",2020,4.37757142857143
"Hungary","East",2020,13.3259090909091
"Latvia","East",2020,10.9822
"Lithuania","East",2020,8.822
"Poland","East",2020,16.9173658536585
"Romania","East",2020,14.1303636363636
"Slovakia","East",2020,14.6324242424242
"Slovenia","East",2020,14.622
"Austria","West",2020,10.206298245614
"Belgium","West",2020,9.6108
"France","West",2020,8.60538150289017
"Germany","West",2020,9.31781739130435
"Ireland","West",2020,8.35783870967742
"Luxembourg","West",2020,7.1435
"Netherlands","West",2020,9.25469565217391
"Bulgaria","East",2021,13.7155
"Estonia","East",2021,4.9254
"Hungary","East",2021,14.7845833333333
"Latvia","East",2021,13.55325
"Lithuania","East",2021,10.027
"Poland","East",2021,19.1697615384615
"Romania","East",2021,14.6456153846154
"Slovakia","East",2021,16.0808648648649
"Slovenia","East",2021,12.2976
"Austria","West",2021,10.6510327868852
"Belgium","West",2021,10.9348142857143
"France","West",2021,9.34583597883598
"Germany","West",2021,9.65775735294118
"Ireland","West",2021,8.36923529411765
"Luxembourg","West",2021,7.1165
"Netherlands","West",2021,9.60912765957447
"Bulgaria","East",2022,13.996
"Estonia","East",2022,4.66585714285714
"Hungary","East",2022,13.5728571428571
"Latvia","East",2022,9.3974
"Lithuania","East",2022,8.779625
"Poland","East",2022,16.6236315789474
"Romania","East",2022,14.1681176470588
"Slovakia","East",2022,14.8501304347826
"Slovenia","East",2022,15.396
"Austria","West",2022,10.5354852941176
"Belgium","West",2022,10.4107283950617
"France","West",2022,9.55549261083744
"Germany","West",2022,9.5454668989547
"Ireland","West",2022,8.26110638297872
"Luxembourg","West",2022,7.739
"Netherlands","West",2022,9.49339130434783
"Bulgaria","East",2023,14.10125
"Estonia","East",2023,4.53542857142857
"Hungary","East",2023,12.2233333333333
"Latvia","East",2023,8.8218
"Lithuania","East",2023,7.47857142857143
"Poland","East",2023,14.5346444444444
"Romania","East",2023,14.7094666666667
"Slovakia","East",2023,13.2966170212766
"Slovenia","East",2023,14.0272222222222
"Austria","West",2023,9.36018461538461
"Belgium","West",2023,9.06546341463415
"France","West",2023,8.57674666666667
"Germany","West",2023,8.17179411764706
"Ireland","West",2023,7.26309433962264
"Luxembourg","West",2023,7.69825
"Netherlands","West",2023,8.24141509433962
NA,"East",NA,NA
NA,"West",NA,NA
